stock_id;collection;sample_id;name;lot;manufacturer;catalog_number
1048;SP_BIOCH;362;PFA 4%-SP;{1032: [('DPBS W/ CA W/ MG', 'aaa')], 1040: [('PARAFORMALDEHYDE', 'H211205')]};;
1066;Biochemistry;206;CELL LYSIS BUFFER 5X MAMMALIAN;gr235968-1;{'name': 'ABCAM', 'url': '/catalog/companies/292'};Ab179835
1201;Biochemistry;341;MCP-1 RAT ELISA KIT;GR3445542-1;{'name': 'ABCAM', 'url': '/catalog/companies/292'};Ab219045
1007;Antibody;26;ANTIBODY MONOCLONAL MOUSE ANTI-MAP2;ABC;;
88;Antibody;34;ANTIBODY MONOCLONAL MOUSE ANTI-OX41;;;
1467;SP_BIOCH;198;PBS AZIDE 0.02%;{1070: [('DPBS W/O CA AND MG', 'MS01LQ')], 1038: [('SODIUM AZIDE', 'GGG')]};;
1469;SP_BIOCH;368;PBS-Sapo-FBS;{1121: [('SAPONIN FROM QUILLAJA BARK', 'BCBN9804V')], 1038: [('SODIUM AZIDE', 'GGG')], 1468: [('Foetal Bovine Serum (FBS)', 'H2020')], 1071: [('DPBS W/O CA AND MG', 'MS01HD')]};;
1473;Culture;370;Trypsine;HBF_Tryp;;
1097;Biochemistry;210;WATER FOR MOLECULAR BIOLOGY;32622009;{'name': 'DUTSCHER', 'url': '/catalog/companies/304'};702670
854;Material;667;96-WELLS CULTURE PLATE BIOMAT;LYS2859;{'name': 'BIOMAT', 'url': '/catalog/companies/462'};MC42F-LYS-L/S with lid
1462;SP_CULT;10;DMEM 10% FBS;{1149: [('IL-6 RAT ELISA KIT', '324017-002')], 1148: [('IL-6 RAT ELISA KIT', '302937-006')], 1461: [('CDNF HUMAN ELISA KIT', 'GGG')]};;
1475;Culture;371;HBSS;HBSS_002;;
1485;Culture;372;DNase at 10 mg/mL;DNASE 200623;;
1474;SP_CULT;17;NB + BDNF10;20JUNE23;;
1474;SP_CULT;17;NB + BDNF10;20JUNE23;;
